ID	X	Y	Curve
0	0	3.491	61230004_M
1	31	3.41	61230004_M
2	60	3.324	61230004_M
3	91	3.359	61230004_M
4	121	3.503	61230004_M
5	152	3.653	61230004_M
6	182	4.452	61230004_M
7	213	4.707	61230004_M
8	244	4.571	61230004_M
9	274	4.18	61230004_M
10	305	4	61230004_M
11	335	3.626	61230004_M
12	366	3.501	61230004_M
13	397	3.408	61230004_M
14	425	3.322	61230004_M
15	456	3.412	61230004_M
16	486	3.577	61230004_M
17	517	3.668	61230004_M
18	547	3.942	61230004_M
19	578	3.928	61230004_M
20	609	3.889	61230004_M
21	639	3.71	61230004_M
22	670	3.495	61230004_M
23	700	3.252	61230004_M
24	731	3.16	61230004_M
25	762	3.067	61230004_M
26	790	3.067	61230004_M
27	821	3.072	61230004_M
28	851	3.209	61230004_M
29	882	3.962	61230004_M
30	912	4.229	61230004_M
31	943	4.334	61230004_M
32	974	4.41	61230004_M
33	1004	4.096	61230004_M
34	1035	3.926	61230004_M
35	1065	3.573	61230004_M
36	1096	3.404	61230004_M
37	1127	3.369	61230004_M
38	1155	3.259	61230004_M
39	1186	3.245	61230004_M
40	1216	3.469	61230004_M
41	1247	4.221	61230004_M
42	1277	4.437	61230004_M
43	1308	4.456	61230004_M
44	1339	4.529	61230004_M
45	1369	4.213	61230004_M
46	1400	3.933	61230004_M
47	1430	3.528	61230004_M
48	1461	3.366	61230004_M
49	1492	3.261	61230004_M
50	1521	3.209	61230004_M
51	1552	3.259	61230004_M
52	1582	3.418	61230004_M
53	1613	3.555	61230004_M
54	1643	4.261	61230004_M
55	1674	4.451	61230004_M
56	1705	4.326	61230004_M
57	1735	3.986	61230004_M
58	1766	3.796	61230004_M
59	1796	3.496	61230004_M
60	1827	3.337	61230004_M
61	1858	3.219	61230004_M
62	1886	3.154	61230004_M
63	1917	3.272	61230004_M
64	1947	3.398	61230004_M
65	1978	3.757	61230004_M
66	2008	3.924	61230004_M
67	2039	3.912	61230004_M
68	2070	3.877	61230004_M
69	2100	3.699	61230004_M
70	2131	3.607	61230004_M
71	2161	3.328	61230004_M
72	2192	3.222	61230004_M
73	2223	3.179	61230004_M
