ID	X	Y	Curve
0	0	3.491	61230004_M
1	31	3.41	61230004_M
2	60	3.327	61230004_M
3	91	3.386	61230004_M
4	121	3.616	61230004_M
5	152	3.802	61230004_M
6	182	5.299	61230004_M
7	213	6.123	61230004_M
8	244	5.884	61230004_M
9	274	5.098	61230004_M
10	305	4.808	61230004_M
11	335	4.291	61230004_M
12	366	4.076	61230004_M
13	397	3.882	61230004_M
14	425	3.767	61230004_M
15	456	3.914	61230004_M
16	486	4.288	61230004_M
17	517	4.326	61230004_M
18	547	5.147	61230004_M
19	578	5.24	61230004_M
20	609	5.127	61230004_M
21	639	4.706	61230004_M
22	670	4.321	61230004_M
23	700	3.965	61230004_M
24	731	3.819	61230004_M
25	762	3.623	61230004_M
26	790	3.639	61230004_M
27	821	3.586	61230004_M
28	851	3.741	61230004_M
29	882	4.909	61230004_M
30	912	5.411	61230004_M
31	943	5.888	61230004_M
32	974	6.038	61230004_M
33	1004	5.419	61230004_M
34	1035	5.087	61230004_M
35	1065	4.799	61230004_M
36	1096	4.353	61230004_M
37	1127	4.123	61230004_M
38	1155	3.961	61230004_M
39	1186	3.888	61230004_M
40	1216	4.226	61230004_M
41	1247	5.512	61230004_M
42	1277	5.98	61230004_M
43	1308	6.286	61230004_M
44	1339	6.42	61230004_M
45	1369	5.815	61230004_M
46	1400	5.091	61230004_M
47	1430	4.474	61230004_M
48	1461	4.224	61230004_M
49	1492	4.012	61230004_M
50	1521	3.889	61230004_M
51	1552	3.906	61230004_M
52	1582	4.105	61230004_M
53	1613	4.212	61230004_M
54	1643	5.618	61230004_M
55	1674	6.361	61230004_M
56	1705	5.979	61230004_M
57	1735	5.199	61230004_M
58	1766	4.893	61230004_M
59	1796	4.486	61230004_M
60	1827	4.248	61230004_M
61	1858	3.985	61230004_M
62	1886	3.852	61230004_M
63	1917	4.016	61230004_M
64	1947	4.209	61230004_M
65	1978	4.838	61230004_M
66	2008	5.222	61230004_M
67	2039	5.281	61230004_M
68	2070	5.203	61230004_M
69	2100	4.869	61230004_M
70	2131	4.795	61230004_M
71	2161	4.454	61230004_M
72	2192	4.232	61230004_M
73	2223	3.998	61230004_M
